,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"[(426.0, 217.0), (410.0, 217.0)]","[(419.0, 218.0), (402.0, 218.0)]",,,,,,,,,,,,,
1,"[(561.0, 166.0), (558.0, 166.0)]","[(561.0, 165.0), (558.0, 165.0)]",,,,,,,,,,,,,
2,"[(423.0, 216.0), (407.0, 215.0)]","[(416.0, 217.0), (398.4000244140625, 216.00001525878906)]",,,,,,,,,,,,,
3,"[(427.0, 222.0), (412.0, 220.0)]","[(421.0, 223.0), (404.0, 221.0)]",,,,,,,,,,,,,
4,"[(600.0, 181.0), (592.0, 181.0)]","[(601.0, 180.0), (596.0, 180.0)]",,,,,,,,,,,,,
5,"[(201.0, 138.0), (182.0, 138.0)]","[(181.0, 135.0), (161.0, 135.0)]","[(159.0, 134.0), (138.0, 134.0)]","[(135.60000610351562, 134.40000915527344), (112.80000305175781, 134.40000915527344)]",,,,,,,,,,,
6,"[(604.0, 181.0), (596.0, 181.0)]","[(604.0, 181.0), (596.0, 182.0)]",,,,,,,,,,,,,
7,"[(371.0, 141.0), (360.0, 141.0)]","[(364.8000183105469, 139.20001220703125), (352.8000183105469, 139.20001220703125)]",,,,,,,,,,,,,
8,"[(738.0, 119.0), (724.800048828125, 117.60000610351562)]","[(742.0, 117.0), (727.2000122070312, 116.4000015258789)]",,,,,,,,,,,,,
9,"[(662.0, 147.0), (657.0, 147.0)]","[(663.0, 146.0), (658.0, 146.0)]","[(665.0, 148.0), (659.0, 148.0)]",,,,,,,,,,,,
10,"[(517.0, 184.0), (510.0, 183.0)]","[(516.0, 183.0), (508.0, 183.0)]","[(515.0, 185.0), (506.0, 185.0)]","[(513.0, 189.0), (505.0, 188.0)]",,,,,,,,,,,
11,"[(352.0, 219.0), (326.0, 218.0)]","[(334.8000183105469, 219.60000610351562), (307.20001220703125, 219.60000610351562)]",,,,,,,,,,,,,
12,"[(532.0, 185.0), (524.4000244140625, 184.8000030517578)]","[(531.0, 184.0), (524.0, 185.0)]","[(530.0, 187.0), (522.0, 187.0)]",,,,,,,,,,,,
13,"[(465.0, 157.0), (459.0, 157.0)]","[(463.0, 156.0), (457.0, 156.0)]","[(462.0, 158.0), (455.0, 158.0)]","[(460.0, 161.0), (453.0, 161.0)]","[(458.0, 161.0), (451.0, 161.0)]",,,,,,,,,,
14,"[(574.0, 173.0), (552.9600219726562, 171.36000061035156)]","[(575.0, 172.0), (572.0, 172.0)]",,,,,,,,,,,,,
15,"[(717.0, 100.0), (704.0, 100.0)]","[(721.2000122070312, 97.20000457763672), (708.0, 97.0)]",,,,,,,,,,,,,
